,X,Y,Area
0,342,954,1851.0
1,408,944,1994.5
2,464,941,2308.5
3,324,900,2296.0
4,510,896,2290.0
5,387,887,2199.5
6,449,875,2501.0
7,560,864,1909.5
8,340,845,2033.5
9,282,836,1730.5
10,506,833,2116.0
11,398,824,2434.0
12,451,800,2221.5
13,556,793,1847.0
14,330,788,2239.0
15,271,767,2182.5
16,505,761,1784.0
17,388,757,2231.0
18,451,743,2089.0
19,550,733,2237.5
20,336,729,1834.0
21,424,697,2156.0
22,282,696,2219.0
23,480,687,2010.5
24,377,681,1931.0
25,529,671,2329.0
26,678,654,1283.0
27,322,656,2164.0
28,620,656,1805.5
29,569,627,2288.5
30,434,630,2626.5
31,374,621,2072.5
32,494,619,1958.0
33,314,602,1605.0
34,643,598,2130.0
35,699,598,1060.0
36,527,577,1880.5
37,379,564,2189.0
38,449,571,2295.5
39,596,568,1755.0
40,310,548,1778.0
41,657,538,1392.5
42,709,542,1677.5
43,492,534,1947.5
44,557,523,2099.0
45,419,511,2094.5
46,359,509,2333.5
47,610,496,1840.5
48,300,482,1623.5
49,662,483,1877.5
50,465,482,2015.5
51,734,479,1611.0
52,524,477,2035.5
53,366,451,2161.0
54,568,445,2147.0
55,693,440,1655.0
56,428,438,2009.0
57,627,433,1547.5
58,489,427,2024.5
59,305,424,2322.0
60,369,400,1535.0
61,675,392,2166.5
62,429,385,1797.5
63,532,390,2309.5
64,740,384,1253.0
65,589,387,1945.5
66,485,358,2261.5
67,627,352,2103.0
68,694,342,2067.0
69,352,348,2431.5
70,416,334,2305.0
71,753,323,1665.5
72,540,327,2183.5
73,481,299,1945.0
74,316,301,1161.5
75,594,305,1821.0
76,372,288,1598.5
77,649,291,1947.0
78,806,280,1275.0
79,704,281,1552.5
80,434,277,1783.5
81,555,264,2238.5
82,753,255,2542.0
83,337,238,1642.5
84,630,238,1879.5
85,488,240,2031.0
86,403,228,2233.0
87,582,210,2009.0
88,804,203,1076.0
89,692,214,2256.5
90,519,202,2214.5
91,364,187,1293.0
92,742,188,1871.0
93,640,183,2215.5
94,453,184,1906.5
95,408,158,926.5
96,549,158,1937.5
97,776,146,2389.0
98,703,144,1933.0
99,598,130,1436.5
100,492,135,2281.5
101,645,120,2387.5
102,544,105,1908.5
103,442,109,2167.0
104,748,87,2042.5
105,691,85,1908.5
106,485,65,1700.5
107,606,59,1938.5
108,549,53,1891.5
